1 ----> uni0001	
20272 ----> uni4F30	估
20274 ----> uni4F32	伲
20275 ----> uni4F33	伳
20276 ----> uni4F34	伴
20278 ----> uni4F36	伶
20280 ----> uni4F38	伸
20281 ----> uni4F39	伹
20282 ----> uni4F3A	伺
20283 ----> uni4F3B	伻
20284 ----> uni4F3C	似
20285 ----> uni4F3D	伽
20286 ----> uni4F3E	伾
20287 ----> uni4F3F	伿
20289 ----> uni4F41	佁
20291 ----> uni4F43	佃
20294 ----> uni4F46	但
20295 ----> uni4F47	佇
20296 ----> uni4F48	佈
20297 ----> uni4F49	佉
20300 ----> uni4F4C	佌
20301 ----> uni4F4D	位
20302 ----> uni4F4E	低
20303 ----> uni4F4F	住
20304 ----> uni4F50	佐
20305 ----> uni4F51	佑
20306 ----> uni4F52	佒
20307 ----> uni4F53	体
20308 ----> uni4F54	佔
20309 ----> uni4F55	何
20310 ----> uni4F56	佖
20311 ----> uni4F57	佗
20312 ----> uni4F58	佘
20313 ----> uni4F59	余
20314 ----> uni4F5A	佚
20315 ----> uni4F5B	佛
20316 ----> uni4F5C	作
20317 ----> uni4F5D	佝
20318 ----> uni4F5E	佞
20319 ----> uni4F5F	佟
20320 ----> uni4F60	你
20321 ----> uni4F61	佡
20322 ----> uni4F62	佢
20323 ----> uni4F63	佣
20324 ----> uni4F64	佤
20327 ----> uni4F67	佧
20329 ----> uni4F69	佩
20330 ----> uni4F6A	佪
20331 ----> uni4F6B	佫
20332 ----> uni4F6C	佬
20334 ----> uni4F6E	佮
20335 ----> uni4F6F	佯
20336 ----> uni4F70	佰
20339 ----> uni4F73	佳
20340 ----> uni4F74	佴
20341 ----> uni4F75	併
20342 ----> uni4F76	佶
20343 ----> uni4F77	佷
20344 ----> uni4F78	佸
20345 ----> uni4F79	佹
20346 ----> uni4F7A	佺
20347 ----> uni4F7B	佻
20348 ----> uni4F7C	佼
20349 ----> uni4F7D	佽
20350 ----> uni4F7E	佾
20351 ----> uni4F7F	使
20352 ----> uni4F80	侀
20353 ----> uni4F81	侁
20354 ----> uni4F82	侂
20355 ----> uni4F83	侃
20356 ----> uni4F84	侄
20357 ----> uni4F85	侅
20358 ----> uni4F86	來
20359 ----> uni4F87	侇
20360 ----> uni4F88	侈
20361 ----> uni4F89	侉
20363 ----> uni4F8B	例
20365 ----> uni4F8D	侍
20367 ----> uni4F8F	侏
20368 ----> uni4F90	侐
20369 ----> uni4F91	侑
20370 ----> uni4F92	侒
20372 ----> uni4F94	侔
20373 ----> uni4F95	侕
20374 ----> uni4F96	侖
20375 ----> uni4F97	侗
20376 ----> uni4F98	侘
20378 ----> uni4F9A	侚
20379 ----> uni4F9B	供
20380 ----> uni4F9C	侜
20381 ----> uni4F9D	依
20382 ----> uni4F9E	侞
20395 ----> uni4FAB	侫
20398 ----> uni4FAE	侮
20399 ----> uni4FAF	侯
20402 ----> uni4FB2	侲
20403 ----> uni4FB3	侳
20405 ----> uni4FB5	侵
20406 ----> uni4FB6	侶
20407 ----> uni4FB7	侷
20409 ----> uni4FB9	侹
20410 ----> uni4FBA	侺
20411 ----> uni4FBB	侻
20415 ----> uni4FBF	便
20416 ----> uni4FC0	俀
20417 ----> uni4FC1	俁
20418 ----> uni4FC2	係
20419 ----> uni4FC3	促
20420 ----> uni4FC4	俄
20421 ----> uni4FC5	俅
20423 ----> uni4FC7	俇
20425 ----> uni4FC9	俉
20426 ----> uni4FCA	俊
20427 ----> uni4FCB	俋
20429 ----> uni4FCD	俍
20430 ----> uni4FCE	俎
20431 ----> uni4FCF	俏
20432 ----> uni4FD0	俐
20433 ----> uni4FD1	俑
20435 ----> uni4FD3	俓
20436 ----> uni4FD4	俔
20438 ----> uni4FD6	俖
20439 ----> uni4FD7	俗
20440 ----> uni4FD8	俘
20441 ----> uni4FD9	俙
20442 ----> uni4FDA	俚
20443 ----> uni4FDB	俛
20444 ----> uni4FDC	俜
20445 ----> uni4FDD	保
20446 ----> uni4FDE	俞
20447 ----> uni4FDF	俟
20448 ----> uni4FE0	俠
20449 ----> uni4FE1	信
20452 ----> uni4FE4	俤
20453 ----> uni4FE5	俥
20460 ----> uni4FEC	俬
20462 ----> uni4FEE	修
20463 ----> uni4FEF	俯
20465 ----> uni4FF1	俱
20466 ----> uni4FF2	俲
20467 ----> uni4FF3	俳
20468 ----> uni4FF4	俴
20469 ----> uni4FF5	俵
20470 ----> uni4FF6	俶
20471 ----> uni4FF7	俷
20472 ----> uni4FF8	俸
