20234 ----> uni4F0A	伊
20237 ----> uni4F0D	伍
20238 ----> uni4F0E	伎
20239 ----> uni4F0F	伏
20240 ----> uni4F10	伐
20241 ----> uni4F11	休
20249 ----> uni4F19	伙
20258 ----> uni4F22	伢
20267 ----> uni4F2B	伫
20271 ----> uni4F2F	伯
20272 ----> uni4F30	估
20274 ----> uni4F32	伲
20276 ----> uni4F34	伴
20278 ----> uni4F36	伶
20280 ----> uni4F38	伸
20282 ----> uni4F3A	伺
20284 ----> uni4F3C	似
20285 ----> uni4F3D	伽
20291 ----> uni4F43	佃
20294 ----> uni4F46	但
20301 ----> uni4F4D	位
20302 ----> uni4F4E	低
20303 ----> uni4F4F	住
20304 ----> uni4F50	佐
20305 ----> uni4F51	佑
20309 ----> uni4F55	何
20311 ----> uni4F57	佗
20312 ----> uni4F58	佘
20313 ----> uni4F59	余
20314 ----> uni4F5A	佚
20315 ----> uni4F5B	佛
20316 ----> uni4F5C	作
20317 ----> uni4F5D	佝
20318 ----> uni4F5E	佞
20319 ----> uni4F5F	佟
20320 ----> uni4F60	你
20324 ----> uni4F64	佤
20327 ----> uni4F67	佧
20329 ----> uni4F69	佩
20332 ----> uni4F6C	佬
20335 ----> uni4F6F	佯
20336 ----> uni4F70	佰
20339 ----> uni4F73	佳
20340 ----> uni4F74	佴
20342 ----> uni4F76	佶
20347 ----> uni4F7B	佻
20348 ----> uni4F7C	佼
20350 ----> uni4F7E	佾
20351 ----> uni4F7F	使
20355 ----> uni4F83	侃
20356 ----> uni4F84	侄
20358 ----> uni4F86	來
20360 ----> uni4F88	侈
20361 ----> uni4F89	侉
20363 ----> uni4F8B	例
20365 ----> uni4F8D	侍
20367 ----> uni4F8F	侏
20369 ----> uni4F91	侑
20372 ----> uni4F94	侔
20374 ----> uni4F96	侖
20375 ----> uni4F97	侗
20379 ----> uni4F9B	供
20381 ----> uni4F9D	依
20387 ----> uni4FA3	侣
20398 ----> uni4FAE	侮
20399 ----> uni4FAF	侯
20405 ----> uni4FB5	侵
20415 ----> uni4FBF	便
20418 ----> uni4FC2	係
20419 ----> uni4FC3	促
20420 ----> uni4FC4	俄
20421 ----> uni4FC5	俅
20426 ----> uni4FCA	俊
20430 ----> uni4FCE	俎
20431 ----> uni4FCF	俏
20432 ----> uni4FD0	俐
20433 ----> uni4FD1	俑
20439 ----> uni4FD7	俗
20440 ----> uni4FD8	俘
20442 ----> uni4FDA	俚
20444 ----> uni4FDC	俜
20445 ----> uni4FDD	保
20446 ----> uni4FDE	俞
20447 ----> uni4FDF	俟
20448 ----> uni4FE0	俠
20449 ----> uni4FE1	信
20451 ----> uni4FE3	俣
20462 ----> uni4FEE	修
20463 ----> uni4FEF	俯
20465 ----> uni4FF1	俱
20467 ----> uni4FF3	俳
20472 ----> uni4FF8	俸
20474 ----> uni4FFA	俺
20478 ----> uni4FFE	俾
20480 ----> uni5000	倀
20486 ----> uni5006	倆
20489 ----> uni5009	倉
20491 ----> uni500B	個
20492 ----> uni500C	倌
20493 ----> uni500D	倍
20495 ----> uni500F	倏
20497 ----> uni5011	們
20498 ----> uni5012	倒
20500 ----> uni5014	倔
20504 ----> uni5018	倘
20505 ----> uni5019	候
20506 ----> uni501A	倚
20508 ----> uni501C	倜
20511 ----> uni501F	借
20513 ----> uni5021	倡
20517 ----> uni5025	倥
20518 ----> uni5026	倦
20520 ----> uni5028	倨
20521 ----> uni5029	倩
20522 ----> uni502A	倪
20523 ----> uni502B	倫
20524 ----> uni502C	倬
20525 ----> uni502D	倭
20526 ----> uni502E	倮
20540 ----> uni503C	值
20547 ----> uni5043	偃
20551 ----> uni5047	假
20552 ----> uni5048	偈
20553 ----> uni5049	偉
20556 ----> uni504C	偌
20558 ----> uni504E	偎
20559 ----> uni504F	偏
20565 ----> uni5055	偕
20570 ----> uni505A	做
20572 ----> uni505C	停
20581 ----> uni5065	健
20588 ----> uni506C	偬
20596 ----> uni5074	側
20597 ----> uni5075	偵
20598 ----> uni5076	偶
20599 ----> uni5077	偷
20608 ----> uni5080	傀
20613 ----> uni5085	傅
20616 ----> uni5088	傈
20621 ----> uni508D	傍
20630 ----> uni5096	傖
20632 ----> uni5098	傘
20633 ----> uni5099	備
20642 ----> uni50A2	傢
20643 ----> uni50A3	傣
20652 ----> uni50AC	催
20653 ----> uni50AD	傭
20658 ----> uni50B2	傲
20659 ----> uni50B3	傳
20660 ----> uni50B4	傴
20661 ----> uni50B5	債
20663 ----> uni50B7	傷
20666 ----> uni50BA	傺
20667 ----> uni50BB	傻
20670 ----> uni50BE	傾
20674 ----> uni50C2	僂
20677 ----> uni50C5	僅
20681 ----> uni50C9	僉
20687 ----> uni50CF	像
20689 ----> uni50D1	僑
20693 ----> uni50D5	僕
20694 ----> uni50D6	僖
20698 ----> uni50DA	僚
20702 ----> uni50DE	僞
20709 ----> uni50E5	僥
20710 ----> uni50E6	僦
20711 ----> uni50E7	僧
20712 ----> uni50E8	僨
20716 ----> uni50EC	僬
20717 ----> uni50ED	僭
20718 ----> uni50EE	僮
20723 ----> uni50F3	僳
20725 ----> uni50F5	僵
20729 ----> uni50F9	價
20731 ----> uni50FB	僻
20736 ----> uni5100	儀
20738 ----> uni5102	儂
20740 ----> uni5104	億
20742 ----> uni5106	儆
20743 ----> uni5107	儇
20744 ----> uni5108	儈
20745 ----> uni5109	儉
20747 ----> uni510B	儋
20752 ----> uni5110	儐
20754 ----> uni5112	儒
20756 ----> uni5114	儔
20757 ----> uni5115	儕
20760 ----> uni5118	儘
20767 ----> uni511F	償
20769 ----> uni5121	儡
20778 ----> uni512A	優
20786 ----> uni5132	儲
20791 ----> uni5137	儷
20794 ----> uni513A	儺
20795 ----> uni513B	儻
20796 ----> uni513C	儼
20800 ----> uni5140	兀
20801 ----> uni5141	允
20803 ----> uni5143	元
20804 ----> uni5144	兄
20805 ----> uni5145	充
20806 ----> uni5146	兆
20808 ----> uni5148	先
20809 ----> uni5149	光
20811 ----> uni514B	克
20813 ----> uni514D	免
20817 ----> uni5151	兑
20818 ----> uni5152	兒
20820 ----> uni5154	兔
20821 ----> uni5155	兕
20822 ----> uni5156	兖
20826 ----> uni515A	党
20828 ----> uni515C	兜
20834 ----> uni5162	兢
20837 ----> uni5165	入
20840 ----> uni5168	全
20841 ----> uni5169	兩
20843 ----> uni516B	八
20844 ----> uni516C	公
20845 ----> uni516D	六
20846 ----> uni516E	兮
20849 ----> uni5171	共
20853 ----> uni5175	兵
20854 ----> uni5176	其
20855 ----> uni5177	具
20856 ----> uni5178	典
20857 ----> uni5179	兹
20860 ----> uni517C	兼
20864 ----> uni5180	冀
20866 ----> uni5182	冂
20869 ----> uni5185	内
20873 ----> uni5189	冉
20876 ----> uni518C	册
20877 ----> uni518D	再
20882 ----> uni5192	冒
20885 ----> uni5195	冕
20886 ----> uni5196	冖
20887 ----> uni5197	冗
20896 ----> uni51A0	冠
20898 ----> uni51A2	冢
20900 ----> uni51A4	冤
20901 ----> uni51A5	冥
20907 ----> uni51AB	冫
20908 ----> uni51AC	冬
20912 ----> uni51B0	冰
20913 ----> uni51B1	冱
20914 ----> uni51B2	冲
20915 ----> uni51B3	决
20917 ----> uni51B5	况
20918 ----> uni51B6	冶
20919 ----> uni51B7	冷
20924 ----> uni51BC	冼
20925 ----> uni51BD	冽
20928 ----> uni51C0	净
20932 ----> uni51C4	凄
20934 ----> uni51C6	准
20935 ----> uni51C7	凇
20937 ----> uni51C9	凉
20939 ----> uni51CB	凋
20940 ----> uni51CC	凌
20941 ----> uni51CD	凍
20943 ----> uni51CF	减
20945 ----> uni51D1	凑
20955 ----> uni51DB	凛
20957 ----> uni51DD	凝
20960 ----> uni51E0	几
20961 ----> uni51E1	凡
20973 ----> uni51ED	凭
20976 ----> uni51F0	凰
20977 ----> uni51F1	凱
20979 ----> uni51F3	凳
20981 ----> uni51F5	凵
20982 ----> uni51F6	凶
20984 ----> uni51F8	凸
20985 ----> uni51F9	凹
20986 ----> uni51FA	出
20988 ----> uni51FC	凼
20989 ----> uni51FD	函
20992 ----> uni5200	刀
20993 ----> uni5201	刁
20994 ----> uni5202	刂
20995 ----> uni5203	刃
20998 ----> uni5206	分
20999 ----> uni5207	切
21000 ----> uni5208	刈
21002 ----> uni520A	刊
21006 ----> uni520E	刎
21009 ----> uni5211	刑
21010 ----> uni5212	划
21014 ----> uni5216	刖
21015 ----> uni5217	列
21021 ----> uni521D	初
21024 ----> uni5220	删
21028 ----> uni5224	判
21032 ----> uni5228	刨
21033 ----> uni5229	利
21035 ----> uni522B	别
21038 ----> uni522E	刮
21040 ----> uni5230	到
21043 ----> uni5233	刳
21046 ----> uni5236	制
21047 ----> uni5237	刷
21048 ----> uni5238	券
21049 ----> uni5239	刹
21050 ----> uni523A	刺
21051 ----> uni523B	刻
21057 ----> uni5241	剁
21059 ----> uni5243	剃
21060 ----> uni5244	剄
21063 ----> uni5247	則
21066 ----> uni524A	削
21067 ----> uni524B	剋
21068 ----> uni524C	剌
21069 ----> uni524D	前
21076 ----> uni5254	剔
21078 ----> uni5256	剖
21083 ----> uni525B	剛
21084 ----> uni525C	剜
21086 ----> uni525E	剞
21089 ----> uni5261	剡
21093 ----> uni5265	剥
21097 ----> uni5269	剩
21098 ----> uni526A	剪
21102 ----> uni526E	剮
