20855 ----> uni5177	具
20856 ----> uni5178	典
20860 ----> uni517C	兼
20864 ----> uni5180	冀
20866 ----> uni5182	冂
20869 ----> uni5185	内
20870 ----> uni5186	円
20873 ----> uni5189	冉
20874 ----> uni518A	冊
20876 ----> uni518C	册
20877 ----> uni518D	再
20879 ----> uni518F	冏
20880 ----> uni5190	冐
20881 ----> uni5191	冑
20882 ----> uni5192	冒
20883 ----> uni5193	冓
20885 ----> uni5195	冕
20886 ----> uni5196	冖
20887 ----> uni5197	冗
20889 ----> uni5199	写
20896 ----> uni51A0	冠
20898 ----> uni51A2	冢
20900 ----> uni51A4	冤
20901 ----> uni51A5	冥
20902 ----> uni51A6	冦
20904 ----> uni51A8	冨
20905 ----> uni51A9	冩
20906 ----> uni51AA	冪
20907 ----> uni51AB	冫
20908 ----> uni51AC	冬
20912 ----> uni51B0	冰
20913 ----> uni51B1	冱
20914 ----> uni51B2	冲
20915 ----> uni51B3	决
20916 ----> uni51B4	冴
20917 ----> uni51B5	况
20918 ----> uni51B6	冶
20919 ----> uni51B7	冷
20925 ----> uni51BD	冽
20932 ----> uni51C4	凄
20933 ----> uni51C5	凅
20934 ----> uni51C6	准
20937 ----> uni51C9	凉
20939 ----> uni51CB	凋
20940 ----> uni51CC	凌
20941 ----> uni51CD	凍
20950 ----> uni51D6	凖
20955 ----> uni51DB	凛
20956 ----> uni51DC	凜
20957 ----> uni51DD	凝
20960 ----> uni51E0	几
20961 ----> uni51E1	凡
20966 ----> uni51E6	処
20967 ----> uni51E7	凧
20969 ----> uni51E9	凩
20970 ----> uni51EA	凪
20973 ----> uni51ED	凭
20976 ----> uni51F0	凰
20977 ----> uni51F1	凱
20981 ----> uni51F5	凵
20982 ----> uni51F6	凶
20984 ----> uni51F8	凸
20985 ----> uni51F9	凹
20986 ----> uni51FA	出
20989 ----> uni51FD	函
20990 ----> uni51FE	凾
20992 ----> uni5200	刀
20995 ----> uni5203	刃
20996 ----> uni5204	刄
20998 ----> uni5206	分
20999 ----> uni5207	切
21000 ----> uni5208	刈
21002 ----> uni520A	刊
21003 ----> uni520B	刋
21006 ----> uni520E	刎
21009 ----> uni5211	刑
21012 ----> uni5214	刔
21021 ----> uni521D	初
21028 ----> uni5224	判
21029 ----> uni5225	別
21031 ----> uni5227	刧
21033 ----> uni5229	利
21034 ----> uni522A	刪
21038 ----> uni522E	刮
21040 ----> uni5230	到
21043 ----> uni5233	刳
21046 ----> uni5236	制
21047 ----> uni5237	刷
21048 ----> uni5238	券
21049 ----> uni5239	刹
21050 ----> uni523A	刺
21051 ----> uni523B	刻
21059 ----> uni5243	剃
21060 ----> uni5244	剄
21063 ----> uni5247	則
21066 ----> uni524A	削
21067 ----> uni524B	剋
21068 ----> uni524C	剌
21069 ----> uni524D	前
21071 ----> uni524F	剏
21076 ----> uni5254	剔
21078 ----> uni5256	剖
21083 ----> uni525B	剛
21086 ----> uni525E	剞
21091 ----> uni5263	剣
21092 ----> uni5264	剤
21093 ----> uni5265	剥
21097 ----> uni5269	剩
21098 ----> uni526A	剪
21103 ----> uni526F	副
21104 ----> uni5270	剰
21105 ----> uni5271	剱
21106 ----> uni5272	割
21107 ----> uni5273	剳
21108 ----> uni5274	剴
21109 ----> uni5275	創
21117 ----> uni527D	剽
21119 ----> uni527F	剿
21123 ----> uni5283	劃
21127 ----> uni5287	劇
21128 ----> uni5288	劈
21129 ----> uni5289	劉
21133 ----> uni528D	劍
21137 ----> uni5291	劑
21138 ----> uni5292	劒
21140 ----> uni5294	劔
21147 ----> uni529B	力
21151 ----> uni529F	功
21152 ----> uni52A0	加
21161 ----> uni52A9	助
21162 ----> uni52AA	努
21163 ----> uni52AB	劫
21164 ----> uni52AC	劬
21165 ----> uni52AD	劭
21169 ----> uni52B1	励
21173 ----> uni52B5	劵
21177 ----> uni52B9	効
21180 ----> uni52BC	劼
21182 ----> uni52BE	劾
21185 ----> uni52C1	勁
21187 ----> uni52C3	勃
21189 ----> uni52C5	勅
21191 ----> uni52C7	勇
21193 ----> uni52C9	勉
21197 ----> uni52CD	勍
21202 ----> uni52D2	勒
21205 ----> uni52D5	動
21207 ----> uni52D7	勗
21208 ----> uni52D8	勘
21209 ----> uni52D9	務
21213 ----> uni52DD	勝
21214 ----> uni52DE	勞
21215 ----> uni52DF	募
21216 ----> uni52E0	勠
21218 ----> uni52E2	勢
21219 ----> uni52E3	勣
21220 ----> uni52E4	勤
21222 ----> uni52E6	勦
21223 ----> uni52E7	勧
21234 ----> uni52F2	勲
21235 ----> uni52F3	勳
21237 ----> uni52F5	勵
21240 ----> uni52F8	勸
21241 ----> uni52F9	勹
21242 ----> uni52FA	勺
21246 ----> uni52FE	勾
21247 ----> uni52FF	勿
21249 ----> uni5301	匁
21250 ----> uni5302	匂
21253 ----> uni5305	包
21254 ----> uni5306	匆
21256 ----> uni5308	匈
21261 ----> uni530D	匍
21263 ----> uni530F	匏
21264 ----> uni5310	匐
21269 ----> uni5315	匕
21270 ----> uni5316	化
21271 ----> uni5317	北
21273 ----> uni5319	匙
21274 ----> uni531A	匚
21277 ----> uni531D	匝
21280 ----> uni5320	匠
21281 ----> uni5321	匡
21283 ----> uni5323	匣
21290 ----> uni532A	匪
21295 ----> uni532F	匯
21297 ----> uni5331	匱
21299 ----> uni5333	匳
21304 ----> uni5338	匸
21305 ----> uni5339	匹
21306 ----> uni533A	区
21307 ----> uni533B	医
21311 ----> uni533F	匿
21312 ----> uni5340	區
21313 ----> uni5341	十
21315 ----> uni5343	千
21317 ----> uni5345	卅
21318 ----> uni5346	卆
21319 ----> uni5347	升
21320 ----> uni5348	午
21321 ----> uni5349	卉
21322 ----> uni534A	半
21325 ----> uni534D	卍
21329 ----> uni5351	卑
21330 ----> uni5352	卒
21331 ----> uni5353	卓
21332 ----> uni5354	協
21335 ----> uni5357	南
21336 ----> uni5358	単
21338 ----> uni535A	博
21340 ----> uni535C	卜
21342 ----> uni535E	卞
21344 ----> uni5360	占
21350 ----> uni5366	卦
21353 ----> uni5369	卩
21358 ----> uni536E	卮
21359 ----> uni536F	卯
21360 ----> uni5370	印
21361 ----> uni5371	危
21363 ----> uni5373	即
21364 ----> uni5374	却
21365 ----> uni5375	卵
21367 ----> uni5377	卷
21368 ----> uni5378	卸
21371 ----> uni537B	卻
21375 ----> uni537F	卿
21378 ----> uni5382	厂
21380 ----> uni5384	厄
21398 ----> uni5396	厖
21400 ----> uni5398	厘
21402 ----> uni539A	厚
21407 ----> uni539F	原
21408 ----> uni53A0	厠
21413 ----> uni53A5	厥
21414 ----> uni53A6	厦
21416 ----> uni53A8	厨
21417 ----> uni53A9	厩
21421 ----> uni53AD	厭
21422 ----> uni53AE	厮
21424 ----> uni53B0	厰
21427 ----> uni53B3	厳
21430 ----> uni53B6	厶
21435 ----> uni53BB	去
21442 ----> uni53C2	参
21443 ----> uni53C3	參
21448 ----> uni53C8	又
21449 ----> uni53C9	叉
21450 ----> uni53CA	及
21451 ----> uni53CB	友
21452 ----> uni53CC	双
21453 ----> uni53CD	反
21454 ----> uni53CE	収
21460 ----> uni53D4	叔
21462 ----> uni53D6	取
21463 ----> uni53D7	受
21465 ----> uni53D9	叙
21467 ----> uni53DB	叛
21471 ----> uni53DF	叟
21473 ----> uni53E1	叡
21474 ----> uni53E2	叢
21475 ----> uni53E3	口
21476 ----> uni53E4	古
21477 ----> uni53E5	句
21480 ----> uni53E8	叨
21481 ----> uni53E9	叩
21482 ----> uni53EA	只
21483 ----> uni53EB	叫
21484 ----> uni53EC	召
21485 ----> uni53ED	叭
21486 ----> uni53EE	叮
21487 ----> uni53EF	可
21488 ----> uni53F0	台
21489 ----> uni53F1	叱
21490 ----> uni53F2	史
21491 ----> uni53F3	右
21494 ----> uni53F6	叶
21495 ----> uni53F7	号
21496 ----> uni53F8	司
21498 ----> uni53FA	叺
21505 ----> uni5401	吁
21507 ----> uni5403	吃
21508 ----> uni5404	各
21512 ----> uni5408	合
21513 ----> uni5409	吉
21514 ----> uni540A	吊
21515 ----> uni540B	吋
21516 ----> uni540C	同
21517 ----> uni540D	名
21518 ----> uni540E	后
21519 ----> uni540F	吏
21520 ----> uni5410	吐
21521 ----> uni5411	向
21531 ----> uni541B	君
21533 ----> uni541D	吝
21535 ----> uni541F	吟
21536 ----> uni5420	吠
21542 ----> uni5426	否
21545 ----> uni5429	吩
21547 ----> uni542B	含
21548 ----> uni542C	听
21549 ----> uni542D	吭
21550 ----> uni542E	吮
21558 ----> uni5436	吶
