20728 ----> uni50F8	僸
20729 ----> uni50F9	價
20731 ----> uni50FB	僻
20733 ----> uni50FD	僽
20734 ----> uni50FE	僾
20735 ----> uni50FF	僿
20736 ----> uni5100	儀
20738 ----> uni5102	儂
20739 ----> uni5103	儃
20740 ----> uni5104	億
20741 ----> uni5105	儅
20742 ----> uni5106	儆
20743 ----> uni5107	儇
20744 ----> uni5108	儈
20745 ----> uni5109	儉
20746 ----> uni510A	儊
20747 ----> uni510B	儋
20748 ----> uni510C	儌
20752 ----> uni5110	儐
20753 ----> uni5111	儑
20754 ----> uni5112	儒
20755 ----> uni5113	儓
20756 ----> uni5114	儔
20757 ----> uni5115	儕
20759 ----> uni5117	儗
20760 ----> uni5118	儘
20762 ----> uni511A	儚
20764 ----> uni511C	儜
20767 ----> uni511F	償
20768 ----> uni5120	儠
20769 ----> uni5121	儡
20770 ----> uni5122	儢
20772 ----> uni5124	儤
20773 ----> uni5125	儥
20774 ----> uni5126	儦
20777 ----> uni5129	儩
20778 ----> uni512A	優
20781 ----> uni512D	儭
20782 ----> uni512E	儮
20784 ----> uni5130	儰
20785 ----> uni5131	儱
20786 ----> uni5132	儲
20787 ----> uni5133	儳
20788 ----> uni5134	儴
20789 ----> uni5135	儵
20791 ----> uni5137	儷
20792 ----> uni5138	儸
20793 ----> uni5139	儹
20794 ----> uni513A	儺
20795 ----> uni513B	儻
20796 ----> uni513C	儼
20797 ----> uni513D	儽
20799 ----> uni513F	儿
20800 ----> uni5140	兀
20801 ----> uni5141	允
20803 ----> uni5143	元
20804 ----> uni5144	兄
20805 ----> uni5145	充
20806 ----> uni5146	兆
20807 ----> uni5147	兇
20808 ----> uni5148	先
20809 ----> uni5149	光
20811 ----> uni514B	克
20812 ----> uni514C	兌
20813 ----> uni514D	免
20818 ----> uni5152	兒
20820 ----> uni5154	兔
20821 ----> uni5155	兕
20823 ----> uni5157	兗
20825 ----> uni5159	兙
20826 ----> uni515A	党
20827 ----> uni515B	兛
20828 ----> uni515C	兜
20829 ----> uni515D	兝
20830 ----> uni515E	兞
20831 ----> uni515F	兟
20833 ----> uni5161	兡
20834 ----> uni5162	兢
20835 ----> uni5163	兣
20837 ----> uni5165	入
20839 ----> uni5167	內
20840 ----> uni5168	全
20841 ----> uni5169	兩
20843 ----> uni516B	八
20844 ----> uni516C	公
20845 ----> uni516D	六
20846 ----> uni516E	兮
20849 ----> uni5171	共
20853 ----> uni5175	兵
20854 ----> uni5176	其
20855 ----> uni5177	具
20856 ----> uni5178	典
20860 ----> uni517C	兼
20864 ----> uni5180	冀
20871 ----> uni5187	冇
20873 ----> uni5189	冉
20874 ----> uni518A	冊
20877 ----> uni518D	再
20879 ----> uni518F	冏
20881 ----> uni5191	冑
20882 ----> uni5192	冒
20883 ----> uni5193	冓
20884 ----> uni5194	冔
20885 ----> uni5195	冕
20887 ----> uni5197	冗
20888 ----> uni5198	冘
20894 ----> uni519E	冞
20896 ----> uni51A0	冠
20898 ----> uni51A2	冢
20900 ----> uni51A4	冤
20901 ----> uni51A5	冥
20906 ----> uni51AA	冪
20908 ----> uni51AC	冬
20912 ----> uni51B0	冰
20913 ----> uni51B1	冱
20918 ----> uni51B6	冶
20919 ----> uni51B7	冷
20921 ----> uni51B9	冹
20924 ----> uni51BC	冼
20925 ----> uni51BD	冽
20926 ----> uni51BE	冾
20932 ----> uni51C4	凄
20933 ----> uni51C5	凅
20934 ----> uni51C6	准
20936 ----> uni51C8	凈
20938 ----> uni51CA	凊
20939 ----> uni51CB	凋
20940 ----> uni51CC	凌
20941 ----> uni51CD	凍
20942 ----> uni51CE	凎
20944 ----> uni51D0	凐
20948 ----> uni51D4	凔
20951 ----> uni51D7	凗
20952 ----> uni51D8	凘
20956 ----> uni51DC	凜
20957 ----> uni51DD	凝
20958 ----> uni51DE	凞
20960 ----> uni51E0	几
20961 ----> uni51E1	凡
20976 ----> uni51F0	凰
20977 ----> uni51F1	凱
20979 ----> uni51F3	凳
20981 ----> uni51F5	凵
20982 ----> uni51F6	凶
20984 ----> uni51F8	凸
20985 ----> uni51F9	凹
20986 ----> uni51FA	出
20989 ----> uni51FD	函
20992 ----> uni5200	刀
20993 ----> uni5201	刁
20995 ----> uni5203	刃
20998 ----> uni5206	分
20999 ----> uni5207	切
21000 ----> uni5208	刈
21001 ----> uni5209	刉
21002 ----> uni520A	刊
21004 ----> uni520C	刌
21006 ----> uni520E	刎
21008 ----> uni5210	刐
21009 ----> uni5211	刑
21010 ----> uni5212	划
21011 ----> uni5213	刓
21014 ----> uni5216	刖
21015 ----> uni5217	列
21020 ----> uni521C	刜
21021 ----> uni521D	初
21022 ----> uni521E	刞
21025 ----> uni5221	刡
21028 ----> uni5224	判
21029 ----> uni5225	別
21032 ----> uni5228	刨
21033 ----> uni5229	利
21034 ----> uni522A	刪
21038 ----> uni522E	刮
21040 ----> uni5230	到
21041 ----> uni5231	刱
21042 ----> uni5232	刲
21043 ----> uni5233	刳
21045 ----> uni5235	刵
21046 ----> uni5236	制
21047 ----> uni5237	刷
21048 ----> uni5238	券
21050 ----> uni523A	刺
21051 ----> uni523B	刻
21057 ----> uni5241	剁
21059 ----> uni5243	剃
21060 ----> uni5244	剄
21062 ----> uni5246	剆
21063 ----> uni5247	則
21065 ----> uni5249	剉
21066 ----> uni524A	削
21067 ----> uni524B	剋
21068 ----> uni524C	剌
21069 ----> uni524D	前
21070 ----> uni524E	剎
21074 ----> uni5252	剒
21076 ----> uni5254	剔
21077 ----> uni5255	剕
21078 ----> uni5256	剖
21082 ----> uni525A	剚
21083 ----> uni525B	剛
21084 ----> uni525C	剜
21085 ----> uni525D	剝
21086 ----> uni525E	剞
21087 ----> uni525F	剟
21089 ----> uni5261	剡
21090 ----> uni5262	剢
21097 ----> uni5269	剩
21098 ----> uni526A	剪
21099 ----> uni526B	剫
21100 ----> uni526C	剬
21101 ----> uni526D	剭
21102 ----> uni526E	剮
21103 ----> uni526F	副
21106 ----> uni5272	割
21108 ----> uni5274	剴
21109 ----> uni5275	創
21111 ----> uni5277	剷
21112 ----> uni5278	剸
21114 ----> uni527A	剺
21115 ----> uni527B	剻
21116 ----> uni527C	剼
21117 ----> uni527D	剽
21119 ----> uni527F	剿
21120 ----> uni5280	劀
21121 ----> uni5281	劁
21122 ----> uni5282	劂
21123 ----> uni5283	劃
21124 ----> uni5284	劄
21127 ----> uni5287	劇
21128 ----> uni5288	劈
21129 ----> uni5289	劉
21130 ----> uni528A	劊
21131 ----> uni528B	劋
21132 ----> uni528C	劌
21133 ----> uni528D	劍
21137 ----> uni5291	劑
21139 ----> uni5293	劓
21142 ----> uni5296	劖
21143 ----> uni5297	劗
21144 ----> uni5298	劘
21145 ----> uni5299	劙
21147 ----> uni529B	力
21151 ----> uni529F	功
21152 ----> uni52A0	加
21155 ----> uni52A3	劣
21158 ----> uni52A6	劦
21161 ----> uni52A9	助
21162 ----> uni52AA	努
21163 ----> uni52AB	劫
